name,description,kind,meal_image
A定食,,SET,test.png
B定食,,SET,test.png
日替わり丼,,SET,test.png
カレーライス,,CURRY,test.png
カツカレー,,CURRY,test.png
トッピングカレー,,CURRY,test.png
朝カレー,,CURRY,test.png
味噌ラーメン,,RAMEN,test.png
醤油ラーメン,,RAMEN,test.png
塩ラーメン,,RAMEN,test.png
チャーシューメン,,RAMEN,test.png
かけそば,,SOBA,test.png
天ぷらそば,,SOBA,test.png
五目そば,,SOBA,test.png
カレーそば,,SOBA,test.png
カツカレーそば,,SOBA,test.png
かけうどん,,UDON,test.png
天ぷらうどん,,UDON,test.png
五目うどん,,UDON,test.png
カレーうどん,,UDON,test.png
カツカレーうどん,,UDON,test.png
味噌汁,,OTHER,
ライス,,OTHER,
大盛り,,OTHER,
小鉢,,OTHER,
